a	Oh! (exclamation of surprise)
a dao	"Singsong girl, geisha"
a dua	"To ape, to chime in, to join in, to take a leaf out of sb's book"
a giang ho	"prostitute,"
a ha	"Aha, ha; hurrah, hurray"
a hoan	Abigail ; maidservant
a khau	aphasia
a khoi	the second winner in a contest
a kim	Metalloid
a phien	Opium
a rap	Arabia
a tong	"To act as (be) an accomplice to someone, to act as (be) an accessory to someone, to make common cause with someone"
a uom	To lump together
ac ba	"Cruel landlord, village tyrant"
ac cam	"Antipathy, aversion, enmity, bad blood, ill feeling"
ac chien	"To fight violently, to fight fiercely"
ac la	Magpie
ac liet	"Very fierce, very violent"
ac mieng	"Foul-mouthed, foul-tongued"
ac mo	Parrot
ac mo ni ca	Mouth-organ
ac mong	Nightmare
ac nghiet	"Cruel, venomous, harsh, spiteful"
ac on	"Enemy-hired killer, wicked thug"
ac phu	wicked woman
ac qui	battery
ac quy	"Demon, fiend"
ac ta	"sunset, declining sun"
ac tam	"Malice, malignity, ill will"
ac thu	Beast of prey
ac tinh	"Malign, malignant"
ac y	"Malice, malignity, ill will"
a-can-dinh	"Argentina, the Argentine"
ach	Yoke
ach	flump; flop
ai	"Who, whom, someone, somebody, anyone, anybody"
ai	Pass
ai	Oh! Ah! (exclamation of pain or surprise)
ai ai	"Everyone, everybody"
ai an	"Tender love, conjugal affection, passion"
ai cha	Oh! Ha!
ai dieu	eulogy; condolence
ai doi	Fancy
ai huu	"Friendly society, guild"
ai khanh	My darling; my dear
ai luc	Affinity
ai mo	To attach; to feel attach to
ai nam ai nu	"Hermaphroditic, bisexual, androgynous"
ai nay	"each and all, one and all"
ai ngai	To feel compassion for
ai nhi lan	Ireland
ai oan	Plaintive
ai phi	favorite queen
ai quan	Frontier pass
ai quoc	"To be a patriot, to love one's country"
ai tinh	"Love, passion"
am	"Small temple, small pagoda; hermitage, secluded hut"
am	Thick fish soup flavoured with herbs
am	To carry in one's arms
am	Yin (opposite to Yang)
am	"To boom, to bang"
am	"Damp, humid"
am	pot; kettle
am ach	"Puffed up, windy, flatulent"
am ach	"Labouring, ploughing, plodding"
am am	"Tepid, lukewarm, warmish"
am am	"Roaring, rumbling"
am anh	"To obsess, to haunt"
am ap	Overbrimmed
am ap	"cosy, warm"
am ba	sound-wave
am chen	tea-set; tea-sevice
am chi	"To insinuate, to allude to, to hint (at)"
am cuc	Cathode
am cung	hell; hades
am cung	"snug, cosy"
am dam	"Gloomy, dreary, sombre"
am dao	Vagina
am dieu	"Tune, melody"
am duong	"Ying and Yang, opposites"
am giai	(Musical) scale
am giai	musical scale
am hach	clitoris
am hai	To attempt the life of
am hanh	penis; the male organ of copulation
am hieu	"To realize; to know inside out; to have a good command of ; to know like the back of one's hand; to have a thorough knowledge of; to be expert in (at,on) ; to be well-informed about, to be familiar with"
am hieu	"Secret signal, coded signal"
am ho	Vulva
am hoc	Acoustics
am hon	"Soul, wraith, manes"
am huong	Sonority
am i	"Smouldering, dull and lasting"
am i	"Noisy, boisterous, strident, uproarious"
am khi	Miasmatic atmosphere
am lich	"Lunar calendar, moon calendar"
am luat	Prosody
am luong	volume
am mao	pubic hair of man and woman
am muoi	"Shady, dubious, underhand, sinister"
am muu	"Plot, scheme"
am nang	scrotum
am nhac	Music
am no	Well off; comfortable
am o	half-baked
am pe	Ampere
am phu	"Hell, Hades"
am sac	timbre; tone-colour
am sat	To assassinate
am ta	Dictation
am tham	Silent
am than	godness
am thanh	Sound
am thap	"Humid, damp, dank"
am thi	"To hint, to insinuate, to suggest"
am thoa	(am nhac) diapason; pitchl
am thuc	to eat and drink
am tich	China teapot
am tiet	Syllable
am tin	News
am u	"Gloomy, dreary, sombre"
am u	"To hum and haw, to hum and ha, to hem and haw"
am u	to hum and haw
am uc	"Full of pent-up anger, full of pent-up resentment"
am uot	Wet
am van	rhyme
am vat	woman's gernital organ
am vi	Phoneme
am vi hoc	"Phonology, phonemics"
an	"Safe, secure"
an	High and narrow table
an	"To eat, to feed, to take, to have"
an	favour; grace
an	To thrust
an	Seal
an ba ni	(Greogr) Albania
an bai	"To preordain, to foreordain, to predestine"
an bam	"To sponge on, to live on"
an ban	To dress
an ban	Printed matter
an boc	to eat with the fingers
an bot	"To take stealthy rake off, to get pickings, to appropriate part of profits"
an ca	to win a bet
an can	"Solicitous, thoughtful"
an canh	to take sides with someone; to be in collusion
an cap	"To steal, to filch, to pilfer"
an chac	to be on sure
an chan	To appropriate part of
an chay	To keep a vegetarian diet
an chet	To take unfair advantage of
an chi	printed matters ; printed paper
an choi	"To indulge in dissipation, to sink in depravity, to live a debauched life, to lead a life of debauchery"
an co	to feast; to attend a banquet
an com	to have a meal; to take a meal
an com thang	to board
an cu	to live in peace
an cu	To seclude oneself from the world
